Frequency,Channel A
(kHz),(dBu)

12.68386841,-38.53545000
12.77923584,-40.12848000
12.87460327,-39.57885000
12.96997070,-39.44522000
13.06533813,-40.24265000
13.16070557,-39.58789000
13.25607300,-40.19389000
13.35144043,-40.87655000
13.44680786,-40.93496000
13.54217529,-40.83659000
13.63754272,-41.40895000
13.73291016,-41.24497000
13.82827759,-41.09299000
13.92364502,-40.36193000
14.01901245,-41.60558000
14.11437988,-41.04449000
14.20974731,-41.08138000
14.30511475,-42.48260000
14.40048218,-42.45966000
14.49584961,-42.01376000
14.59121704,-41.74321000
14.68658447,-42.54010000
14.78195190,-42.25064000
14.87731934,-43.72847000
14.97268677,-41.39355000
15.06805420,-42.46666000
15.16342163,-43.31662000
15.25878906,-44.13720000
15.35415649,-42.48769000
15.44952393,-42.85621000
15.54489136,-44.23997000
15.64025879,-42.60775000
15.73562622,-44.03064000
15.83099365,-43.77514000
15.92636108,-43.43377000
16.02172852,-44.20112000
16.11709595,-43.07344000
16.21246338,-43.70033000
16.30783081,-44.41080000
16.40319824,-43.31624000
16.49856567,-43.44311000
16.59393311,-46.88783000
16.68930054,-44.69147000
16.78466797,-45.25249000
16.88003540,-45.85834000
16.97540283,-43.26875000
17.07077026,-43.37267000
17.16613770,-46.70711000
17.26150513,-46.58375000
17.35687256,-44.42043000
17.45223999,-43.69169000
17.54760742,-47.16319000
17.64297485,-44.97863000
17.73834229,-42.61062000
17.83370972,-44.11561000
17.92907715,-50.20410000
18.02444458,-46.01273000
18.11981201,-44.90654000
18.21517944,-48.21664000
18.31054688,-45.11208000
18.40591431,-43.57925000
18.50128174,-46.95861000
18.59664917,-47.13556000
18.69201660,-47.07862000
18.78738403,-46.18740000
18.88275146,-45.05833000
18.97811890,-47.41814000
19.07348633,-46.85993000
19.16885376,-46.86449000
19.26422119,-45.47983000
19.35958862,-47.82072000
19.45495605,-47.76224000
19.55032349,-47.25284000
19.64569092,-45.26841000
19.74105835,-48.23460000
19.83642578,-46.66933000
19.93179321,-50.49455000
20.02716064,-45.98392000
20.12252808,-44.97445000
20.21789551,-49.35115000
20.31326294,-46.53002000
20.40863037,-48.64629000
20.50399780,-45.87637000
20.59936523,-47.85354000
20.69473267,-47.30489000
20.79010010,-52.98340000
20.88546753,-46.24162000
20.98083496,-44.92039000
21.07620239,-49.09029000
21.17156982,-48.81293000
21.26693726,-49.16925000
21.36230469,-47.45001000
21.45767212,-45.22996000
21.55303955,-47.59026000
21.64840698,-50.26282000
21.74377441,-48.46703000
21.83914185,-48.80363000
21.93450928,-47.72323000
22.02987671,-47.05378000
22.12524414,-46.98329000
22.22061157,-50.62523000
22.31597900,-49.74808000
22.41134644,-49.53258000
22.50671387,-45.97244000
22.60208130,-45.97271000
22.69744873,-48.42561000
22.79281616,-50.81360000
22.88818359,-50.18391000
22.98355103,-48.24998000
23.07891846,-47.46116000
23.17428589,-49.37704000
23.26965332,-48.67081000
23.36502075,-50.19350000
23.46038818,-48.87497000
23.55575562,-47.53230000
23.65112305,-47.56847000
23.74649048,-50.14389000
23.84185791,-49.81934000
23.93722534,-48.58377000
24.03259277,-47.86697000
24.12796021,-49.43055000
24.22332764,-49.83437000
24.31869507,-49.40366000
24.41406250,-47.28604000
24.50942993,-47.82127000
24.60479736,-51.86397000
24.70016479,-51.71366000
24.79553223,-49.79725000
24.89089966,-50.48191000
24.98626709,-49.96462000
25.08163452,-47.90523000
25.17700195,-51.35101000
25.27236938,-51.16785000
25.36773682,-47.20770000
25.46310425,-48.27671000
25.55847168,-49.09423000
25.65383911,-51.76458000
25.74920654,-48.56425000
25.84457397,-48.37036000
25.93994141,-48.34859000
26.03530884,-51.10314000
26.13067627,-52.87775000
26.22604370,-48.83977000
26.32141113,-55.72616000
26.41677856,-48.36000000
26.51214600,-48.43093000
26.60751343,-48.82420000
26.70288086,-50.06641000
26.79824829,-51.97342000
26.89361572,-49.49868000
26.98898315,-50.39744000
27.08435059,-49.78160000
27.17971802,-50.39238000
27.27508545,-52.17340000
27.37045288,-48.18191000
27.46582031,-48.97813000
27.56118774,-52.61911000
27.65655518,-50.64995000
27.75192261,-48.84484000
27.84729004,-54.14833000
27.94265747,-50.30595000
28.03802490,-48.14662000
28.13339233,-53.13564000
28.22875977,-49.44675000
28.32412720,-48.71376000
28.41949463,-50.85088000
28.51486206,-50.74380000
28.61022949,-52.34089000
28.70559692,-49.43626000
28.80096436,-50.37297000
28.89633179,-51.18274000
28.99169922,-52.01781000
29.08706665,-48.88291000
