Frequency,Channel A
(kHz),(dBu)

12.68386841,-38.86362000
12.77923584,-39.46447000
12.87460327,-39.73290000
12.96997070,-39.28962000
13.06533813,-39.98151000
13.16070557,-39.81792000
13.25607300,-39.84831000
13.35144043,-40.41846000
13.44680786,-40.49984000
13.54217529,-40.46125000
13.63754272,-41.11265000
13.73291016,-42.18231000
13.82827759,-39.91780000
13.92364502,-40.75865000
14.01901245,-41.28372000
14.11437988,-42.74959000
14.20974731,-41.28603000
14.30511475,-41.51257000
14.40048218,-41.89542000
14.49584961,-42.28309000
14.59121704,-41.79422000
14.68658447,-43.50580000
14.78195190,-42.36240000
14.87731934,-41.71779000
14.97268677,-42.47611000
15.06805420,-43.48117000
15.16342163,-42.37414000
15.25878906,-42.72390000
15.35415649,-42.87674000
15.44952393,-43.03532000
15.54489136,-44.16062000
15.64025879,-44.50703000
15.73562622,-42.82358000
15.83099365,-43.09850000
15.92636108,-44.20193000
16.02172852,-45.05031000
16.11709595,-43.68557000
16.21246338,-42.15118000
16.30783081,-43.43512000
16.40319824,-45.29636000
16.49856567,-44.27268000
16.59393311,-43.91544000
16.68930054,-44.18187000
16.78466797,-46.51774000
16.88003540,-46.65469000
16.97540283,-44.39933000
17.07077026,-43.33221000
17.16613770,-47.43204000
17.26150513,-46.67361000
17.35687256,-43.74096000
17.45223999,-44.11145000
17.54760742,-45.91991000
17.64297485,-44.34653000
17.73834229,-43.10818000
17.83370972,-44.15121000
17.92907715,-51.48336000
18.02444458,-45.61028000
18.11981201,-43.60812000
18.21517944,-50.38418000
18.31054688,-44.89773000
18.40591431,-42.66794000
18.50128174,-44.82573000
18.59664917,-50.22926000
18.69201660,-47.29679000
18.78738403,-44.49915000
18.88275146,-44.41339000
18.97811890,-45.85252000
19.07348633,-47.30463000
19.16885376,-46.33770000
19.26422119,-44.71328000
19.35958862,-46.92426000
19.45495605,-48.57883000
19.55032349,-46.08131000
19.64569092,-46.39158000
19.74105835,-45.89812000
19.83642578,-46.77857000
19.93179321,-48.16750000
20.02716064,-48.96379000
20.12252808,-45.14856000
20.21789551,-46.96524000
20.31326294,-48.32510000
20.40863037,-47.87803000
20.50399780,-46.20356000
20.59936523,-47.69180000
20.69473267,-46.30379000
20.79010010,-46.36712000
20.88546753,-49.80524000
20.98083496,-46.07487000
21.07620239,-46.33311000
21.17156982,-47.46087000
21.26693726,-48.00742000
21.36230469,-48.99501000
21.45767212,-47.12025000
21.55303955,-47.83550000
21.64840698,-47.09827000
21.74377441,-49.29430000
21.83914185,-49.03722000
21.93450928,-47.27769000
22.02987671,-46.56253000
22.12524414,-49.09338000
22.22061157,-47.67080000
22.31597900,-48.43193000
22.41134644,-49.58929000
22.50671387,-50.64264000
22.60208130,-46.32793000
22.69744873,-49.19923000
22.79281616,-48.68015000
22.88818359,-47.88294000
22.98355103,-49.01678000
23.07891846,-48.20010000
23.17428589,-50.15783000
23.26965332,-47.41270000
23.36502075,-46.97415000
23.46038818,-52.25977000
23.55575562,-47.54063000
23.65112305,-49.28503000
23.74649048,-50.52914000
23.84185791,-47.48437000
23.93722534,-47.74412000
24.03259277,-52.38597000
24.12796021,-48.15496000
24.22332764,-50.17890000
24.31869507,-50.02701000
24.41406250,-48.50720000
24.50942993,-47.99041000
24.60479736,-49.43240000
24.70016479,-50.26271000
24.79553223,-49.33327000
24.89089966,-48.38672000
24.98626709,-50.20952000
25.08163452,-52.06268000
25.17700195,-48.82250000
25.27236938,-49.17068000
25.36773682,-52.85468000
25.46310425,-47.83440000
25.55847168,-48.14861000
25.65383911,-50.68573000
25.74920654,-51.19556000
25.84457397,-48.87534000
25.93994141,-48.98695000
26.03530884,-50.37878000
26.13067627,-51.58674000
26.22604370,-47.68529000
26.32141113,-49.70587000
26.41677856,-53.33691000
26.51214600,-49.31667000
26.60751343,-48.67918000
26.70288086,-49.09255000
26.79824829,-52.96480000
26.89361572,-49.85925000
26.98898315,-51.57101000
27.08435059,-49.38366000
27.17971802,-50.30978000
27.27508545,-51.02429000
27.37045288,-46.85287000
27.46582031,-52.31039000
27.56118774,-51.53466000
27.65655518,-53.20802000
27.75192261,-49.00188000
27.84729004,-47.86251000
27.94265747,-53.48969000
28.03802490,-52.14400000
28.13339233,-48.94796000
28.22875977,-49.74817000
28.32412720,-47.60975000
28.41949463,-51.11977000
28.51486206,-54.23872000
28.61022949,-48.78592000
28.70559692,-49.38934000
28.80096436,-53.00052000
28.89633179,-49.41125000
28.99169922,-52.44703000
29.08706665,-53.16483000
